2023-06-23 00:11:09 result: , param:15068.59-111:-2714.1000000000000
2023-06-23 00:11:11 result: , param:15068.59-111:-2714.1000000000000
2023-06-23 00:11:13 result: , param:15068.59-111:-2714.1000000000000
2023-06-23 00:11:15 result: , param:15068.59-111:-2714.1000000000000
2023-06-23 00:11:17 result: , param:15068.59-111:-2674.1000000000000
2023-06-23 00:11:19 result: , param:15068.59-111:-2574.5000000000000
2023-06-23 00:11:21 result: , param:15068.59-111:-2658.4000000000000
2023-06-23 00:11:23 result: , param:15068.59-111:-2658.4000000000000
2023-06-23 00:11:25 result: , param:15068.59-111:-2658.1000000000000
2023-06-23 00:11:27 result: , param:15068.59-111:-2714.1000000000000
2023-06-23 00:11:29 result: , param:15068.59-111:-2714.1000000000000
2023-06-23 00:11:31 result: , param:15068.59-111:-2714.1000000000000
2023-06-23 00:11:33 result: , param:15068.59-111:-2714.1000000000000
2023-06-23 00:11:35 result: , param:15068.59-111:-2840.5000000000000
2023-06-23 00:11:37 result: , param:15068.59-111:-2931.1000000000000
2023-06-23 00:11:39 result: , param:15068.59-111:-2894.4000000000000
2023-06-23 00:11:41 result: , param:15068.59-111:-2894.4000000000000
2023-06-23 00:11:43 result: , param:15068.59-111:-2910.1000000000000
2023-06-23 00:11:45 result: , param:15068.59-111:-2885.0000000000000
2023-06-23 00:11:47 result: , param:15068.59-111:-2895.1000000000000
2023-06-23 00:11:49 result: , param:15068.59-111:-2924.8000000000000
2023-06-23 00:11:51 result: , param:15068.59-111:-2910.2000000000000
2023-06-23 00:11:53 result: , param:15068.59-111:-2910.2000000000000
2023-06-23 00:11:55 result: , param:15068.59-111:-2910.2000000000000
2023-06-23 00:11:57 result: , param:15068.59-111:-2910.2000000000000
2023-06-23 00:11:59 result: , param:15068.59-111:-2858.5000000000000
2023-06-23 00:12:01 result: , param:15068.59-111:-2858.6000000000000
2023-06-23 00:12:03 result: , param:15068.59-111:-2903.0000000000000
2023-06-23 00:12:05 result: , param:15068.59-111:-2943.0000000000000
2023-06-23 00:12:07 result: , param:15068.59-111:-2837.4000000000000
2023-06-23 00:12:09 result: , param:15068.59-111:-2837.4000000000000
2023-06-23 00:12:11 result: , param:15068.59-111:-2808.8000000000000
2023-06-23 00:12:13 result: , param:15068.59-111:-2758.0000000000000
2023-06-23 00:12:15 result: , param:15068.59-111:-2726.7000000000000
2023-06-23 00:12:17 result: , param:15068.59-111:-2761.6000000000000
2023-06-23 00:12:20 result: , param:15068.59-111:-2857.0000000000000
2023-06-23 00:12:22 result: , param:15068.59-111:-2857.0000000000000
2023-06-23 00:12:24 result: , param:15068.59-111:-2858.5000000000000
2023-06-23 00:12:26 result: , param:15068.59-111:-2858.5000000000000
2023-06-23 00:12:28 result: , param:15068.59-111:-2858.6000000000000
2023-06-23 00:12:30 result: , param:15068.59-111:-2858.5000000000000
2023-06-23 00:12:32 result: , param:15068.59-111:-2821.2000000000000
2023-06-23 00:12:34 result: , param:15068.59-111:-2766.4000000000000
2023-06-23 00:12:36 result: , param:15068.59-111:-2766.4000000000000
2023-06-23 00:12:38 result: , param:15068.59-111:-2766.4000000000000
2023-06-23 00:12:40 result: , param:15068.59-111:-2849.7000000000000
2023-06-23 00:12:42 result: , param:15068.59-111:-2849.7000000000000
2023-06-23 00:12:44 result: , param:15068.59-111:-2798.2000000000000
2023-06-23 00:12:46 result: , param:15068.59-111:-2798.2000000000000
2023-06-23 00:12:48 result: , param:15068.59-111:-2786.3000000000000
2023-06-23 00:12:50 result: , param:15068.59-111:-2786.3000000000000
2023-06-23 00:12:52 result: , param:15068.59-111:-2857.2000000000000
